ID,Total Rewards On Testnet,Total Mined Blocks,Sqrt Mined Blocks,Cumulative Mined,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzoHKouoRDeno1E1UftGKSVhmjoxZAfJBAUKRHQjnpp7wdBdt,30000000000000,3,2,"1,091,975","12,691.84",0.02%,0.00,,
qzpfmVckguhytKse6VwYXFdpdM4BDgjmp9jB6q3ovbGmUNmVT,30000000000000,3,2,"1,091,978","12,693.57",0.02%,0.00,,
qznQ5i181r87Lw1C8wcp9qRFBEC8CEjhBqYspdSFv12R917NS,20000000000000,2,1,"1,091,980","12,694.99",0.01%,0.00,,
qzkrJDzQuyZ92KTdwG718tQzZUCL4hd1m6ibmHaKox6tnJEXL,20000000000000,2,1,"1,091,982","12,696.40",0.01%,0.00,,
qznscbHurRmmJLVBKn3SgUD3KwXNKZiLFjSsvrjtk1m73c35T,20000000000000,2,1,"1,091,984","12,697.81",0.01%,0.00,,
qzo5LUKwEHe7C66WLen9tcTdRx6rqNkSVyrRWXZGzVNGuQzYH,20000000000000,2,1,"1,091,986","12,699.23",0.01%,0.00,,
qznpoqYmpSrypih4epbyMRp1cFuv7T2pzwqhrc4NccZr8WZB5,20000000000000,2,1,"1,091,988","12,700.64",0.01%,0.00,,
qzq8dkx6Zqg3a6ZN1Pbmrhd1jwow2fNNh6SbWrqYD8M1CMuNB,20000000000000,2,1,"1,091,990","12,702.06",0.01%,0.00,,
qznySY3GQ9dhK5GXjt1jJQN13NRZRLnwW8rgifDNpMsbKESKn,20000000000000,2,1,"1,091,992","12,703.47",0.01%,0.00,,
qzmmSu8dfJ6ww6Rp8iHrN7Q2xBPKS4E6kxM2kdGfozSk4EL8c,20000000000000,2,1,"1,091,994","12,704.89",0.01%,0.00,,
qzpZ457u4UcKAtCHNskiNRyFgX2L3pngm2fL72WqgjWLz8N8z,20000000000000,2,1,"1,091,996","12,706.30",0.01%,0.00,,
qzjUZ9wS8wwLqdiRQW3cn31ZiZRxdD2uqTLrFoCoi3j5FwXom,20000000000000,2,1,"1,091,998","12,707.71",0.01%,0.00,,
qzktZGjX3ALJrEzFiSS8MvZNF3rgFyURLh9eGgFLgNNCWqwYU,20000000000000,2,1,"1,092,000","12,709.13",0.01%,0.00,,
qzkRf4gKmSMXZ1a7K467Fya5XkSv5uhfdt5BoebZSnuRNVFmM,20000000000000,2,1,"1,092,002","12,710.54",0.01%,0.00,,
qzkcPZa7MJHzCHPi8xUbsoM2aDmwmMmzQ7yHRvSoUhw4GoKaK,20000000000000,2,1,"1,092,004","12,711.96",0.01%,0.00,,
qznTeZW9c9ted7HZikNuiM28czaRFJ1QXpSHg2ekxomqKqYwJ,10000000000000,1,1,"1,092,005","12,712.96",0.01%,0.00,,
qzkSEr8NkswvTC8vdpKtdfquH9a1AGnLZhk1v7aK8rnwuhX1o,10000000000000,1,1,"1,092,006","12,713.96",0.01%,0.00,,
qznv5u1NrSWddzWFbFoVFpyBkSwpY3XiQxQHUcT46ueGcdvSN,10000000000000,1,1,"1,092,007","12,714.96",0.01%,0.00,,
qzneQjBF9FuaFEp54xzcasEx65koWny85Ks1HEEhwbwN9SPdu,10000000000000,1,1,"1,092,008","12,715.96",0.01%,0.00,,
qznu5dm3S2yVJHTRxWpezNLa3jnDgYLLESrnxfZnAF7hi1DTm,10000000000000,1,1,"1,092,009","12,716.96",0.01%,0.00,,
qzk366wmwXDNz1XJmcmgfWYd3ZsaTSWShzZdwZC7Er7LgmWih,10000000000000,1,1,"1,092,010","12,717.96",0.01%,0.00,,
qzoayTaF13Y5aC61z5gugijhgiDpz65KxTzvLuyJcMeV5ySM4,10000000000000,1,1,"1,092,011","12,718.96",0.01%,0.00,,
qzomkQ1h8eVx3kKSKnytHSWcavLaBmXKFZVxJAfQiCXXs29PU,10000000000000,1,1,"1,092,012","12,719.96",0.01%,0.00,,
qzp6aPeDG9tMTMWAtougwZVcqd8k8ZDbVgzQegWE9Srzxqyqd,10000000000000,1,1,"1,092,013","12,720.96",0.01%,0.00,,
qzkAV2SXEMJe9um2zH2E4KCf2oqiZjrBZHEpGBKMJ5QAqVboP,10000000000000,1,1,"1,092,014","12,721.96",0.01%,0.00,,
,,"1,092,014",,"2,184,028","12,721.96",,,,
