Address,Total Rewards,Blocks mined,Cumulative Mined,Sqrt Mined,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzpJKjDzv9DDbB3fzWJJg3XpMJLaJRT2aUBRHJV3iKb9KAse1,,"107,650","107,650",328.10,328.10,4.10%,102.53,2500,"8,000.13"
qzjVZ8E957sD3cp8XS8Cf3bD4qLZPjYsdm6NSm5ZbA2o5BDZj,,"102,505","210,155",320.16,648.26,4.00%,100.05,,
qzksv17vRTvSs3jTC2UsPPQ4LbiTRaHM3Y4ALT5AHd7azyZkh,,"41,550","251,705",203.84,852.10,2.55%,63.70,,
qzjtwGuPGLy1C8mkpc7hp4ZyiK3WxaPJ5yg2dZtUnGprqZ84r,,"38,457","290,162",196.10,"1,048.21",2.45%,61.28,,
qzoqy3pcLsBcPpGFqj9BTv3UyvRB9o8ScnKqcQfSbQTR6odnu,,"37,339","327,501",193.23,"1,241.44",2.42%,60.38,,
qzpciM4tLqLHhiRczjKd2kSwSWAncCYkuU6PdDyjZE37cbyMv,,"34,140","361,641",184.77,"1,426.21",2.31%,57.74,,
qznaZcifLXCN9M6cWeJ91XsGQ7NCbkiZCwaLouUSP5YMiMzyQ,,"26,614","388,255",163.14,"1,589.35",2.04%,50.98,,
qzjYMpbcejXW1d26G8MGVo9hAVWhc29EgwK8rQhZvQQUfvKcE,,"25,477","413,732",159.62,"1,748.96",2.00%,49.88,,
qznZttca6MzPdsEaSC289BjqpxZzs4tpa7TWQ9xzzMZBNWc3W,,"21,820","435,552",147.72,"1,896.68",1.85%,46.16,,
qzq3yzbR7iXgkAEWdANe7WkvCvHqZVsmTJVQ9qkWax28wKQ1d,,"21,033","456,585",145.03,"2,041.71",1.81%,45.32,,
qzneChhG2NKkVycgweCDuBvksh4mvwNn58ySTcD6GYBHW5yLZ,,"20,984","477,569",144.86,"2,186.57",1.81%,45.27,,
qzqDMhonEncjXczzbaxXYTsFkh2MMDVSpCQXamVvK7EE6NSpY,,"19,992","497,561",141.39,"2,327.96",1.77%,44.18,,
qzkJ4DehqdMcBFHqVWPsZ7o6DpW5vJWNmsSs123vc9zCgjTod,,"18,705","516,266",136.77,"2,464.73",1.71%,42.74,,
qzozjfZd8vfVFdoKbtmezfMWV21ngt2Qc429Df1uT8u5CMeWZ,,"17,123","533,389",130.85,"2,595.58",1.64%,40.89,,
qznjf7KKWr3XMdqUS2FnNh4eo69FWQALYvyd46RKvnkX8fZKf,,"17,083","550,472",130.70,"2,726.28",1.63%,40.84,,
qzjYXKnZa4hNfQwFy4GmFNnVANi1xgGsqiXuLw4FgRYq18Kd1,,"16,878","567,350",129.92,"2,856.20",1.62%,40.60,,
qzmkLmZ8L8pQCZhYqVsYrwjeNWt2aw8BCBAzP9YGbKCWtQrjj,,"15,573","582,923",124.79,"2,980.99",1.56%,39.00,,
qznCPRrjQPCcB731eKhCP6pocUki982zbkgCY1dvCE2pzeM3D,,"15,511","598,434",124.54,"3,105.53",1.56%,38.92,,
qzogGp7Wf1UJn9gWNr6qbEhHtyvVPFXq4ResHiCRnTNVX73Yy,,"15,120","613,554",122.96,"3,228.50",1.54%,38.43,,
qzoGZBgSuPqRLLHe5E3MWR2Az3bLXdiobDJN56KdMoF5tyKhc,,"14,862","628,416",121.91,"3,350.41",1.52%,38.10,,
qzoe6nFgmXGwHA5zyUKwwGaiwFZjUBCvmXWCvZsnVA1LHEuHt,,"14,493","642,909",120.39,"3,470.79",1.50%,37.62,,
qzq92jufqAi6mq6NejVjbnFSHmWGp2btEz7jyCbqW2t2NAYZw,,"13,361","656,270",115.59,"3,586.38",1.44%,36.12,,
qzk5T5k7XV5UwErhdCadnr5YG12rd7ZwXXMdQ9jKU8j1Qs8z6,,"13,149","669,419",114.67,"3,701.05",1.43%,35.83,,
qzoUXSq3JiS3FNWLT1sX93orRW8iub9jijuKNs162oYf7gcmH,,"12,655","682,074",112.49,"3,813.55",1.41%,35.15,,
qzjfjzcmfeZ8Gmx3TRJQHA6Z7ps4LdKBSxJ86FXW6CYM4PhkX,,"11,286","693,360",106.24,"3,919.78",1.33%,33.20,,
qzpkSBJZ2seaisouXx5r9HnhMzFUNrx8FdLTQLcE27veKurTc,,"10,821","704,181",104.02,"4,023.81",1.30%,32.51,,
qzptQjWMTh95vs4w8fp6Mp3nvBc6LNJLpdPNXGPi9xRbLWraX,,"9,100","713,281",95.39,"4,119.20",1.19%,29.81,,
qzoh8Nvauqx6fHiFftu8UU3vJncL23sZY9sP9PjxX8NtbbU71,,"9,098","722,379",95.38,"4,214.58",1.19%,29.81,,
qznf9mQwGAX7oqmyiNQ4cAm68d2S9Ayx8oV5dirMFPHFYgNPf,,"8,968","731,347",94.70,"4,309.28",1.18%,29.59,,
qzk8ik4XDs99LechSUQ7X4UcsEn3x5G2K6HVAh12VGaeLKCaE,,"8,839","740,186",94.02,"4,403.30",1.18%,29.38,,
qzn7Rs7Ze6DuYM23XuDxRG2g7tQWksvRPhVosmr5oWSwkK5Eh,,"8,673","748,859",93.13,"4,496.43",1.16%,29.10,,
qzkkAjRoQckvDiHHVod21JBK9VwAHDxqACD44PUyhqckGokaD,,"8,194","757,053",90.52,"4,586.95",1.13%,28.29,,
qzphpYvryvfgPhykRHGA6dfNJggCyuWkLqrtbVG2fL7UMd2s3,,"8,193","765,246",90.52,"4,677.46",1.13%,28.29,,
qzntXFHNziRKXNRKDke7eugWHfGbsAdLY76MnpmPpq6GfnSsL,,"7,930","773,176",89.05,"4,766.51",1.11%,27.83,,
qzk7HyC72tCngnsZa8eR5CfH9VombFG2xA7YBSKE1P5KD5Ui6,,"7,298","780,474",85.43,"4,851.94",1.07%,26.70,,
qzpHtHnyo4kPoFrsrjCNeLTTUeKxxe4bJXLbGLzBFkx56r4vF,,"7,248","787,722",85.14,"4,937.08",1.06%,26.60,,
qzpo2n7PByDUB8MP5jyqVh5NqRdCPQ418xB1ywEKFcShD7bPu,,"6,739","794,461",82.09,"5,019.17",1.03%,25.65,,
qzje34gHt9vcddjFSeRRpyo9zy3HVg7QjTUFvEkUzmxXRtfeo,,"6,660","801,121",81.61,"5,100.78",1.02%,25.50,,
qzpvavZmrYcDtpK4wuz4T9FE336FZoPbTVKAwS8SiLTH5JuuR,,"6,279","807,400",79.24,"5,180.02",0.99%,24.76,,
qzn7QqFMK1Jrq932oEdqUgg1i5rgxh1tdJmnLrVYk2H9CfZGM,,"5,915","813,315",76.91,"5,256.93",0.96%,24.03,,
qzmBUdwKPZtkNMpUZTcuTdAgxzumJ3VBSrK2Z3jq3Wiv4fpNM,,"5,704","819,019",75.52,"5,332.45",0.94%,23.60,,
qzmyJZ6rpZ7ia27SPMKJkBBZsSxvtbwNDkYVcCfNE7W5bSqCJ,,"5,687","824,706",75.41,"5,407.86",0.94%,23.57,,
