Address,Total Rewards,Blocks mined,Cumulative Mined,Sqrt Mined,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzoFgxG8X5CvDFeZva9CtxYG3xqufvhojzJQvCymHGbxjop5P,,"1,405","930,101",37.48,"7,290.16",0.47%,11.71,,
qznw3G1kr78fBPBAE7kEM9xBZXgi2F5pmBoC1Bt9NbcsUzPru,,"1,390","931,491",37.28,"7,327.44",0.47%,11.65,,
qzkJkWnqX6vQ9dvAWVkkooKM5fsSx2DfzYhJV2b1mfehroDoB,,"1,380","932,871",37.15,"7,364.59",0.46%,11.61,,
qzpyCwTJqfCVUVRSXC7S4oN6EvigvuETv5nqsSE442inytaNW,,"1,379","934,250",37.13,"7,401.72",0.46%,11.60,,
qzowe2f4RP29RQChSvhMeSZVq1j2JeuzM2aVurTY2Vqx3WZuj,,"1,198","935,448",34.61,"7,436.33",0.43%,10.82,,
qzoV5wbHXENvywkCLNoVAZd7KzxxH2eREyZNbVRYNbaoh6jiT,,"1,091","936,539",33.03,"7,469.36",0.41%,10.32,,
qzpcuyNw8yNqTBnRzA7vQ5Uz4iCXWmGXKfCpn5qRjcM5uQ7gF,,"1,050","937,589",32.40,"7,501.77",0.41%,10.13,,
qznGw9v9cdVzL3neuLjdTtCMHZAnP5GoDdRXZw84B7DHQ85bQ,,"1,000","938,589",31.62,"7,533.39",0.40%,9.88,,
qzoL1nn28VqPZy6kUvpe1mC3gW393bDjMBFVLwG2ka8Bn3uhY,,987,"939,576",31.42,"7,564.81",0.39%,9.82,,
qzjVXZ4jz2PsFyJo11PoSp793QJAkpHCKk4sCxo48DFSQ7sfY,,922,"940,498",30.36,"7,595.17",0.38%,9.49,,
qzoZNdMYBPLNegmhf1zk6JsbbfQzitgB8ZTSnx7dwBydEzvcz,,904,"941,402",30.07,"7,625.24",0.38%,9.40,,
qzk53pm2A7qVMaeHpbEptPKfURadMnW95uyK3YjhX34Enjwx5,,878,"942,280",29.63,"7,654.87",0.37%,9.26,,
qzkgH7zXgRmH94viJPwmZCEDirtCsKchd9ycMaLaMryjdsdwQ,,780,"943,060",27.93,"7,682.80",0.35%,8.73,,
qznRv1Rs4SmSroEDGW8yfLELrUnSCesDF5vkBatasUpqY64Fg,,691,"943,751",26.29,"7,709.08",0.33%,8.21,,
qzpW7oZydqZGGacSiQ96Jw7fzhRbQiCynt1LGhYSqHAsyehLv,,690,"944,441",26.27,"7,735.35",0.33%,8.21,,
qzmAmnxxYyq3fqBP55eHPXiNWMCmvVe2YEx5o9H7M9xFm6hET,,610,"945,051",24.70,"7,760.05",0.31%,7.72,,
qznaqHS3FQEVdsKRi9nc9JUFuCXoKcwE49cL8SF8mKGLHrLKs,,589,"945,640",24.27,"7,784.32",0.30%,7.58,,
qzoomLZaNLK84UmcaxjiLXmPhwE5X3eETC1YNyAe55qe379S4,,555,"946,195",23.56,"7,807.88",0.29%,7.36,,
qzjV98C5Wsf3AFp5GuSypPVBqZ2b98T61CnW2ua5ABCULv14W,,532,"946,727",23.07,"7,830.94",0.29%,7.21,,
qznJJmLc72y56wLzKjopYVwY2oa8jSodCfmxtqU2VjCs1jZXZ,,492,"947,219",22.18,"7,853.12",0.28%,6.93,,
qzmUZW2Aghghw6TsSCgPmqEdbg1Nr5rvbQAKZFgkqPGNYTBEz,,471,"947,690",21.70,"7,874.83",0.27%,6.78,,
qzoWfxg9D7SkmsxfZxMJg8ZDS4GfJMtuNVjfcp92WAffSaokD,,453,"948,143",21.28,"7,896.11",0.27%,6.65,,
qzoe56Gzrt1NtwsmoUkEwL4UbXaRPNUJyhivzJBAJ2gewfJvo,,451,"948,594",21.24,"7,917.35",0.27%,6.64,,
qzoU827dmqjZWxcLkV8JEPHbjk7nVxVTuAphZJE5ouKCi9i3d,,446,"949,040",21.12,"7,938.47",0.26%,6.60,,
qzpt132WSFK7oDAZMWNhLaTJDkBEoSuYMp18eTCP3WMcPtvwa,,439,"949,479",20.95,"7,959.42",0.26%,6.55,,
qzn6Am3Xn3JBFDoESUc6pBiAo5eQHEiRZgmnBv3w29UsAb8xK,,423,"949,902",20.57,"7,979.99",0.26%,6.43,,
qzpKpUGF8PzRwdYAJ9nJdytSTNs3za9WiCqZRnvkXczcDXfFB,,406,"950,308",20.15,"8,000.13",0.25%,6.30,,
qzjkZuoCUFzFWcSC4XGoVAkN6X797bLFB2tJAHbMJCrDrWgtW,,393,"950,701",19.82,"8,019.96",0.25%,0.00,,
qzkjftZ5PLzzhjxTyp9byWVxWaaHFE4jDQJ9tXnJa2fLmVXTh,,386,"951,087",19.65,"8,039.61",0.25%,0.00,,
qzo5Rt6taAj74KmzWGXH4Wz8aSAoUHmJzUn8NZFaufxE3XwDu,,373,"951,460",19.31,"8,058.92",0.24%,0.00,,
qzk6Bdtc1h93BGKkaYV8URjhs3cYgmzBVTGtE9RposguauoNt,,351,"951,811",18.73,"8,077.65",0.23%,0.00,,
qzoZ45rs5UTkM4MLiM4tDfE9RLFwGvutqyHm3vUk2cqQSqyRN,,342,"952,153",18.49,"8,096.15",0.23%,0.00,,
qzmQnLkom6SspzDKsABJQmqa2yRRpUzDsvi1gQHGZNd3dfcQT,,338,"952,491",18.38,"8,114.53",0.23%,0.00,,
qzkV4WNDjjPhBjHj8fU1DeXjQykuUVFY9mbMJaardkvxGQGVn,,299,"952,790",17.29,"8,131.82",0.22%,0.00,,
qznPW63tUQfEvSPNDQvrcACzbYvD9UY7XGSzeg1BhTYcW1AXQ,,278,"953,068",16.67,"8,148.50",0.21%,0.00,,
qzkZZKyU5f85w5texCMYtLnG4wn7XmP6LbJPheJ1B4mYQiTdS,,263,"953,331",16.22,"8,164.71",0.20%,0.00,,
qzoQigUph8v4bmNNSsFXLtCju1JLcLrySYwSjLvtJnPd59Tyd,,205,"953,536",14.32,"8,179.03",0.18%,0.00,,
qzpPZywsNZY4BhajHqDuL7SEkPQfJCJDcuPMQzosPX5bQmHFd,,204,"953,740",14.28,"8,193.31",0.18%,0.00,,
qzncaYTNReUpKQTV8oPn9V12dswi1NxrqQnmSjxNnv1dZFAdc,,190,"953,930",13.78,"8,207.10",0.17%,0.00,,
qzkfsjmauTtbEgAsX8hLYoWKkZUgn5E8HGd8Ra7uceUMAwa9D,,182,"954,112",13.49,"8,220.59",0.17%,0.00,,
qzmkuZHCkSxKsdiLft6itvokgcoVGY4LCEnHTqrqDLE5LW8ST,,180,"954,292",13.42,"8,234.01",0.17%,0.00,,
qzmNtekgxmMnWtMDyQuDjTio3iK4tvf1g9GCLnbDHZutdNyfq,,145,"954,437",12.04,"8,246.05",0.15%,0.00,,
qzknJzK1mxj4BPfJfevxuWtKnabogCp52ESnUEK1n7HY6iejs,,143,"954,580",11.96,"8,258.01",0.15%,0.00,,
qznWni9oj1YhEQWmwxH6EN6G9AH5Mor8qexsFWhjqysH77Hpq,,143,"954,723",11.96,"8,269.96",0.15%,0.00,,
qzk1q2cpsRTG9xR27YTJjpq6wkSrxj8EFydhy8XVQRNoVztkZ,,135,"954,858",11.62,"8,281.58",0.15%,0.00,,
